Level XP
0 20
1 50
2 94
3 150
4 220
5 310
6 427
7 550
8 720
9 949
10 1253
11 1651
12 2164
13 2820
14 3646
15 4680
16 5960
17 7533
18 9452
19 11777
20 14577
21 17930
22 21921
23 26650
24 32226
25 38771
26 46423
27 55332
28 65668
29 77616
30 91381
31 107192
32 125296
33 145967
34 169506
35 196239
36 226525
37 260756
38 299355
39 342786
40 391552
41 446196
42 507311
43 575533
44 651553
45 736117
46 830027
47 934147
48 1049410
49 1176815
50 1317436
51 1472426
52 1643020
53 1830541
54 2036404
55 2262124
56 2509316
57 2779706
58 3075134
59 3397563
60 3749081
61 4131912
62 4548420
63 5001120
64 5492679
65 6025934
66 6603888
67 7229729
68 7906834
69 8638777
70 9429343
71 10282534
72 11202581
73 12193955
74 13261377
75 14409829
76 15644570
77 16971143
78 18395390
79 19923467
80 21561856
81 23317378
82 25197211
83 27208902
84 29360386
85 31659998
86 34116493
87 36739066
88 39537362
89 42521503
90 45702101
91 49090283
92 52697706
93 56536585
94 60619706
95 64960459
96 69572851
97 74471537
98 79671842
99 85189787
100 91042114
101 97246317
102 103820664
103 110784230
104 118156926
105 125959529
106 134213713
107 142942081
108 152168199
109 161916633
110 172212977
111 183083896
112 194557161
113 206661687
114 219427573
115 232886140
116 247069979
117 262012986
118 277750411
119 294318902
120 311756552
121 330102944
122 349399205
123 369688051
124 391013843
125 413422636
126 436962238
127 461682261
128 487634183
